District_Name,Commune,historical_1980,rcp4p5_ESM1M,rcp4p5_GEM1M,rcp4p5_CM5A_LR,rcp4p5_MIROC_ESM,rcp8p5_ESM1M,rcp8p5_GEM1M,rcp8p5_CM5A_LR,rcp8p5_MIROC_ESM
Kalimantan Barat,Kapuas Hulu,1448.230803,1448.230803,1448.230803,1448.230803,1448.230803,1404.798021,1448.230803,1479.386618,1448.230803
Bali,Karang Asem,0,0,0,0,0,0,0,0,0
Jawa Tengah,Karanganyar,0,0,0,0,0,0,0,0,0
Jawa Barat,Karawang,8000.184736,7073.205132,7178.36305,6884.81032,672.3745975,7202.861071,6934.433226,7303.255234,591.4831715
Kepulauan Riau,Karimun,0,0,0,0,0,0,0,0,0
Sumatera Utara,Karo,32.98616409,32.98616409,32.98616409,32.98616409,32.98616409,32.98616409,32.98616409,32.98616409,32.98616409
Kalimantan Tengah,Katingan,829.0418892,829.0418892,768.1805344,829.0418892,829.0418892,829.0418892,768.1805344,1113.901112,829.0418892
Bengkulu,Kaur,832.9350281,832.9350281,832.9350281,832.9350281,832.9350281,832.9350281,832.9350281,832.9350281,832.9350281
Kalimantan Barat,Kayong Utara,58.41700554,58.41700554,40.42183304,88.49250412,58.41700554,58.41700554,58.41700554,88.49250412,58.41700554
Jawa Tengah,Kebumen,2166.498526,2166.498526,0,2166.498526,2166.498526,2166.498526,0,2166.498526,2166.498526
Jawa Timur,Kediri,1051.767719,1003.030325,889.4446716,1051.767719,912.0604801,1023.688402,856.7970467,1080.689005,912.0604801
Papua,Keerom,305.5019264,305.5019264,305.5019264,305.5019264,305.5019264,305.5019264,305.5019264,305.5019264,305.5019264
Jawa Tengah,Kendal,262.3010082,262.3010082,0,262.3010082,262.3010082,262.3010082,0,262.3010082,262.3010082
Bengkulu,Kepahiang,0,0,0,0,0,0,0,0,0
Kepulauan Riau,Kepulauan Anambas,0,0,0,0,0,0,0,0,0
Maluku,Kepulauan Aru,305.1592541,305.1592541,357.4707165,305.1592541,305.1592541,305.1592541,305.1592541,357.4707165,305.1592541
Sumatera Barat,Kepulauan Mentawai,0,0,0,0,0,0,0,0,0
Riau,Kepulauan Meranti,820.4211426,820.4211426,820.4211426,865.0687981,820.4211426,820.4211426,820.4211426,865.0687981,865.0687981
Sulawesi Utara,Kepulauan Sangihe,0,0,0,0,0,0,0,0,0
Sulawesi Selatan,Kepulauan Selayar,0,0,0,0,0,0,0,0,0
Dki Jakarta,Kepulauan Seribu,0,0,0,0,0,0,0,0,0
Maluku Utara,Kepulauan Sula,54.1641922,54.1641922,54.1641922,54.1641922,54.1641922,54.1641922,54.1641922,54.1641922,54.1641922
Sulawesi Utara,Kepulauan Talaud,141.4725227,141.4725227,141.4725227,141.4725227,141.4725227,141.4725227,141.4725227,141.4725227,141.4725227
Papua,Kepulauan Yapen,98.70936584,98.70936584,98.70936584,98.70936584,98.70936584,98.70936584,98.70936584,98.70936584,98.70936584
Jambi,Kerinci,0,0,0,0,0,0,0,0,0
Kalimantan Barat,Ketapang,1583.023594,1644.369125,1471.056206,1644.369125,1583.023594,1583.023594,1583.023594,1711.15258,1583.023594
Jawa Tengah,Klaten,0,0,0,0,0,0,0,0,0
Bali,Klungkung,0,0,0,0,0,0,0,0,0
Sulawesi Tenggara,Kolaka,1154.827847,1154.827847,1154.827847,1154.827847,1154.827847,1154.827847,1154.827847,1154.827847,1154.827847
Sulawesi Tenggara,Kolaka Timur,116.5036545,116.5036545,116.5036545,116.5036545,116.5036545,116.5036545,116.5036545,116.5036545,116.5036545
Sulawesi Tenggara,Kolaka Utara,1239.822975,1239.822975,1239.822975,1239.822975,1239.822975,1239.822975,1239.822975,1239.822975,1239.822975
Sulawesi Tenggara,Konawe,999.5539894,1043.428684,999.5539894,1043.428684,999.5539894,999.5539894,999.5539894,1087.643799,1043.428684
Sulawesi Tenggara,Konawe Kepulauan,0,0,0,0,0,0,0,0,0
Sulawesi Tenggara,Konawe Selatan,555.2388659,555.2388659,555.2388659,555.2388659,555.2388659,555.2388659,527.2406435,555.2388659,555.2388659
Sulawesi Tenggara,Konawe Utara,0,0,0,0,0,0,0,0,0
Maluku,Kota Ambon,554.9285965,554.9285965,554.9285965,554.9285965,554.9285965,554.9285965,554.9285965,554.9285965,554.9285965
Kalimantan Timur,Kota Balikpapan,180.3038521,180.3038521,328.7422791,236.0274963,180.3038521,180.3038521,328.7422791,328.7422791,180.3038521
Aceh,Kota Banda Aceh,552.0168962,584.2043314,552.0168962,552.0168962,552.0168962,584.2043314,584.2043314,584.2043314,552.0168962
Lampung,Kota Bandar Lampung,56.23465347,56.23465347,56.23465347,56.23465347,56.23465347,56.23465347,56.23465347,56.23465347,56.23465347
Jawa Barat,Kota Bandung,0,0,0,0,0,0,0,0,0
